sample_idx,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,ddq7
1718,0.88307899999999995,-1.162765,1.4789600000000001,-0.94533999999999996,1.4721010000000001,-0.84021199999999996,0.67680899999999999,0.26878099999999999,-0.28099800000000003,0.24923300000000001,-0.046077,-0.15917400000000001,0.32986700000000002,-0.51836300000000002,2.7664610000000001,-1.559016,0.87968299999999999,0.34676200000000001,8.9317189999999993,24.49662,18.576232999999998
1719,0.88840399999999997,-1.1684289999999999,1.483792,-0.94623800000000002,1.4685379999999999,-0.83392500000000003,0.66604799999999997,0.26790799999999998,-0.27838000000000002,0.238761,-0.042935000000000001,-0.19059000000000001,0.30054599999999998,-0.52778800000000003,3.0582769999999999,0.69416,0.63234299999999999,-0.796045,-5.2737999999999996,-25.634886999999999,17.000008000000001
1720,0.89371699999999998,-1.174053,1.488537,-0.94701100000000005,1.4647790000000001,-0.827457,0.65512300000000001,0.26529000000000003,-0.28012500000000001,0.231431,-0.035604999999999998,-0.19687299999999999,0.34766999999999998,-0.53092899999999998,2.515587,-4.2589680000000003,-3.0651950000000001,1.634606,-10.655039,24.681948999999999,27.985113999999999
1721,0.89902099999999996,-1.179632,1.4931829999999999,-0.94771799999999995,1.4607950000000001,-0.82084999999999997,0.64402999999999999,0.26616299999999998,-0.27488899999999999,0.23771400000000001,-0.034557999999999998,-0.214675,0.33510299999999998,-0.55291999999999997,2.3151619999999999,1.977168,9.6573220000000006,-0.79398899999999994,-15.544623,13.14289,11.243356
1722,0.904308,-1.1851689999999999,1.497743,-0.94833400000000001,1.456583,-0.81408100000000005,0.63276100000000002,0.26354499999999997,-0.27663500000000002,0.231431,-0.026179999999999998,-0.22619500000000001,0.32882,-0.57281700000000002,2.9156249999999999,-2.134179,3.3393039999999998,1.059504,0.53098199999999995,-12.948046,-16.044810999999999
1723,0.909578,-1.1906730000000001,1.502186,-0.94886499999999996,1.4521729999999999,-0.80715700000000001,0.62135799999999997,0.261799,-0.27663500000000002,0.215723,-0.024086,-0.21781700000000001,0.33929199999999998,-0.58328899999999995,0.49846699999999999,-0.84446900000000003,-2.4005749999999999,-0.79402200000000001,-1.2351650000000001,-7.5693289999999998,-15.063803
1724,0.91483700000000001,-1.196129,1.5065489999999999,-0.949291,1.4475579999999999,-0.80005700000000002,0.60979000000000005,0.26267200000000002,-0.27401700000000001,0.21676999999999999,-0.018849999999999999,-0.22409999999999999,0.371755,-0.57177,-1.838166,-0.55391999999999997,0.987645,-0.672319,16.976891999999999,27.489412000000002,25.754839
1725,0.92008000000000001,-1.201532,1.5108189999999999,-0.94960100000000003,1.4427289999999999,-0.79278899999999997,0.59805399999999997,0.26092700000000002,-0.271399,0.21676999999999999,-0.011519,-0.246091,0.36651899999999998,-0.57177,1.7868869999999999,1.291093,2.7897020000000001,1.6833819999999999,12.391306999999999,-9.4068810000000003,32.674956000000002
1726,0.92531200000000002,-1.2068950000000001,1.514974,-0.94982999999999995,1.437697,-0.78539400000000004,0.58616199999999996,0.26005400000000001,-0.26529000000000003,0.203156,-0.0073299999999999997,-0.24504400000000001,0.37803799999999999,-0.58747799999999994,1.6913910000000001,3.1343369999999999,-3.5264540000000002,2.3871910000000001,19.965022000000001,18.583334000000001,25.505676999999999
1727,0.93052000000000001,-1.2122139999999999,1.519048,-0.94995700000000005,1.432499,-0.77784399999999998,0.57411400000000001,0.261799,-0.26092700000000002,0.195826,-0.0052360000000000002,-0.261799,0.360236,-0.62412999999999996,2.614233,3.4334310000000001,-4.4739519999999997,-1.7855179999999999,-7.5045609999999998,-29.104430000000001,-24.442616000000001
