sample_idx,tau1_meas,tau1_urdf,err1,tau2_meas,tau2_urdf,err2,tau3_meas,tau3_urdf,err3,tau4_meas,tau4_urdf,err4,tau5_meas,tau5_urdf,err5,tau6_meas,tau6_urdf,err6,tau7_meas,tau7_urdf,err7
931,108.0,1.1798045688893473,106.82019543111065,-28.650155,-27.76428296985872,-0.8858720301412824,0.364773,1.0270156625940499,-0.6622426625940498,-0.255247,-0.03600439083872076,-0.21924260916127924,0.681546,1.4358237561438454,-0.7542777561438454,2.394957,-4.04302676332978,6.43798376332978,1.5221,0.2549560752977719,1.267143924702228
932,108.0,1.2541709670449825,106.74582903295502,-28.561734,-27.7199807982779,-0.8417532017221028,0.556232,1.217150129140011,-0.6609181291400111,-0.253762,-0.02690678375281158,-0.2268552162471884,0.561506,1.310251248949605,-0.748745248949605,2.333763,-4.014441791895628,6.348204791895627,1.571576,0.3375681778239254,1.2340078221760746
933,108.0,0.4020120889799121,107.59798791102008,-26.607316,-27.332010201636084,0.7246942016360833,0.703378,0.030445574961659103,0.6729324250383408,-7.081445,-7.703743389047447,0.6222983890474465,-0.264282,-1.230250107745213,0.965968107745213,9.746288,7.098600920530622,2.647687079469378,0.819639,0.08113332655869478,0.7385056734413052
934,108.0,0.4823021059046669,107.51769789409533,-25.154549,-26.138605676192764,0.9840566761927647,1.008482,0.2502730681604135,0.7582089318395866,-8.391099,-8.972583697841353,0.5814846978413524,-0.441128,-1.4530555860932253,1.0119275860932253,9.686891,6.909940216346368,2.776950783653631,-1.136781,0.097200871821385,-1.233981871821385
935,108.0,1.3816030200570257,106.61839697994297,-21.640811,-22.155794116377905,0.5149831163779055,1.825484,1.8055643775013184,0.019919622498681733,-9.495836,-9.245937203147934,-0.24989879685206695,-0.875635,-0.6314021202353762,-0.24423287976462382,7.193208,-2.8165659106170264,10.009773910617026,-0.906827,0.7606279294496404,-1.6674549294496406
936,108.0,0.6539679044996404,107.34603209550036,-26.381192,-25.931787185312626,-0.44940481468737303,0.133593,-0.201321607450492,0.33491460745049195,-6.698819,-7.4523669446824385,0.7535479446824382,-0.004987,-0.5346692402803769,0.5296822402803769,9.738431,6.896101806125899,2.842329193874101,1.415374,2.450204094974187,-1.034830094974187
937,108.0,1.0121312733942471,106.98786872660575,-23.274871,-23.72814454196811,0.4532735419681089,1.078727,1.0651411447075132,0.013585855292486793,-8.170565,-7.972764892826736,-0.19780010717326402,-0.263541,-0.08240283562747712,-0.1811381643725229,7.317619,-2.641911962183301,9.959530962183301,1.055522,-0.21277234239303244,1.2682943423930326
938,108.0,0.16293023742020207,107.8370697625798,-26.300661,-27.089079476482986,0.7884184764829847,0.395853,-0.29021839119066933,0.6860713911906693,-6.783931,-7.430323127146788,0.6463921271467878,-0.127072,-1.1490904918225529,1.0220184918225528,9.769014,7.408282709932985,2.360731290067015,1.322433,-0.08636598986676983,1.4087989898667699
939,108.0,1.1403972239852616,106.85960277601474,-22.969477,-23.464255599816408,0.4947785998164065,1.340922,1.310182907552524,0.03073909244747597,-8.395996,-8.184819530549209,-0.21117646945079116,-0.413216,-0.23102557723346936,-0.18219042276653066,7.329494,-2.5622107322839214,9.891704732283921,0.858217,-0.036069506280954684,0.8942865062809547
940,108.0,0.2041239668099769,107.79587603319003,-26.049459,-27.05207762286045,1.0026186228604494,0.712806,-0.0830613757033209,0.795867375703321,-7.595409,-8.250013570500014,0.6546045705000143,-0.380428,-1.5204024101969236,1.1399744101969236,10.487459,7.683919988350073,2.803539011649926,0.917517,-0.01990885963062604,0.9374258596306261
